# Documents Missing source_url (74 total, excluding case-law)
# Generated 2026-07-01 from s3://wis-raw-bucket-c8e69250/raw/
#
# Fill in the `source_url` column. Leave blank if no public URL exists.
# Statutes: https://docs.legis.wisconsin.gov/statutes/statutes/{chapter}
# Admin rules: https://docs.legis.wisconsin.gov/code/admin_code/tax/{number}
# Constitution: https://docs.legis.wisconsin.gov/statutes/constitution
# WPAM: https://www.revenue.wi.gov/Pages/WPAM/wpam-{year}.aspx (or direct PDF)
# Gov pubs: https://www.revenue.wi.gov/DOR%20Publications/{filename}.pdf

## Statutes (25) — DONE: https://docs.legis.wisconsin.gov/statutes/statutes/{chapter}.pdf

doc_id                      | s3_key                                                          | source_url
## Admin Rules (7) — DONE: https://docs.legis.wisconsin.gov/code/admin_code/tax/{chapter}.pdf

doc_id                      | s3_key                                                          | source_url
admin_rules-document-6      | raw/admin_rules-document-6/admin_rules-document-6.pdf           | https://docs.legis.wisconsin.gov/code/admin_code/tax/6.pdf
admin_rules-document-12     | raw/admin_rules-document-12/admin_rules-document-12.pdf         | https://docs.legis.wisconsin.gov/code/admin_code/tax/12.pdf
admin_rules-document-15     | raw/admin_rules-document-15/admin_rules-document-15.pdf         | https://docs.legis.wisconsin.gov/code/admin_code/tax/15.pdf
admin_rules-document-18     | raw/admin_rules-document-18/admin_rules-document-18.pdf         | https://docs.legis.wisconsin.gov/code/admin_code/tax/18.pdf
admin_rules-document-19     | raw/admin_rules-document-19/admin_rules-document-19.pdf         | https://docs.legis.wisconsin.gov/code/admin_code/tax/19.pdf
admin_rules-document-20     | raw/admin_rules-document-20/admin_rules-document-20.pdf         | https://docs.legis.wisconsin.gov/code/admin_code/tax/20.pdf
admin_rules-tax-16          | raw/admin_rules-tax-16/admin_rules-tax-16.pdf                   | https://docs.legis.wisconsin.gov/code/admin_code/tax/16.pdf

## Constitution (1) — DONE

doc_id                          | s3_key                                                                          | source_url
constitution-state-constitution | raw/constitution-state-constitution/constitution-state-constitution.pdf          | https://docs.legis.wisconsin.gov/constitution/wi_unannotated

## USPAP (1) — DONE

doc_id                          | s3_key                                                                          | source_url
uspap-2024-uspap-standards-1-4  | raw/uspap-2024-uspap-standards-1-4/uspap-2024-uspap-standards-1-4.pdf            | https://www3.lirealtor.com/docs/default-source/default-document-library/appraisal-resources/uniform-standards-of-professional-appraisal-practice-%28uspap%29.pdf?sfvrsn=5f6c1cde_245
